sample_name	fraction	treatment	replicate
SRR5892435	Tot	CTL	R1
SRR5892436	Tot	CTL	R2
SRR5892437	Tot	CTL	R3
SRR5892438	Tot	SMA	R1
SRR5892439	Tot	SMA	R2
SRR5892440	Tot	SMA	R3
SRR5892441	Poly	CTL	R1
SRR5892442	Poly	CTL	R2
SRR5892443	Poly	CTL	R3
SRR5892444	Poly	SMA	R1
SRR5892445	Poly	SMA	R2
SRR5892446	Poly	SMA	R3
